"gutenberg_id","tokens"
10592,35262
10593,39969
10597,45533
10598,102948
10599,43881
106,75093
1060,12826
10600,223627
10601,77327
10603,30612
10605,46280
10608,30
10609,212975
1061,78181
10610,184967
10611,53063
10612,51564
10613,44330
1062,6082
10621,71587
10622,98270
10623,59041
10624,66976
10625,177426
10627,84476
10629,42435
1063,2349
10630,1765
10631,169957
10633,239394
10635,106703
10637,62472
1064,2439
10640,75646
10641,26
10642,69368
10644,75846
10647,74755
10648,102884
10649,106842
1065,1096
10655,138158
10658,107668
10659,48421
1066,57466
10660,98309
10662,198485
10667,78631
10668,120566
10669,155012
1067,129390
10670,44148
10671,53785
10674,39555
10675,61390
10676,116242
10677,97432
10679,9016
1068,153973
10681,201839
10684,54297
10688,54784
1069,208587
10690,19162
10691,154980
10692,174392
10693,113099
10694,79494
10696,52589
107,139574
10700,216080
10701,109507
10702,107118
10703,203703
10704,204185
10705,265570
10706,37
10707,5085
10708,69973
10709,33225
10710,68316
10712,144339
10713,40913
10714,37716
10715,46165
10716,22228
10718,84329
10720,120131
10722,75829
10723,28156
10724,45559
10725,37510
10726,27850
10727,100469
10728,32519
10729,47358
10731,30113
10732,30730
10733,117179
10735,19969
10736,51255
10737,844
10739,32356
1074,106916
10740,17301
10741,38539
10743,84014
10744,83586
10745,126267
10747,39888
1075,47778
10750,13146
10751,21176
10753,17581
10755,98465
10756,57963
1076,80576
10760,48371
10761,54729
10765,99593
10766,278206
10767,7673
10769,114260
1077,51256
10772,94843
10773,22461
1078,108409
10780,41433
10781,4126
10782,4063
10783,3942
10784,3991
10785,3686
10786,4021
10787,3558
10788,4390
10789,4149
1079,190085
10790,4179
10791,3465
10792,3753
10793,47905
10794,77958
10795,25724
10796,1519
10797,95845
10798,97156
108,113211
10801,111185
10803,224040
10805,11167
10806,33805
10807,179033
1081,143781
10810,53675
10812,18799
10816,5494
10817,79266
10818,109781
1082,84832
10826,30584
1083,108074
10831,23375
10832,54165
10833,29548
10835,144890
10837,27066
10840,93146
10842,95122
10843,53882
10844,44140
10846,86479
10848,65522
10849,14832
1085,89436
10851,170063
10852,54982
10855,25859
10857,103243
10859,34585
1086,17794
10860,67925
10861,132697
10862,62560
10865,101284
10866,125339
10868,82796
10869,77455
10870,6003
10871,11200
10872,14807
10873,12434
10874,11755
10875,12058
10876,62132
10877,71842
1088,106437
10881,49355
10882,50038
10884,154497
10885,96479
10886,71875
10889,66860
1089,48588
10891,61492
10892,191043
10897,18600
10898,83268
10899,52675
109,6874
10901,13598
10902,15092
10904,18817
10905,181810
1091,89873
10910,7100
10911,58611
10913,14122
10915,3421
10918,29902
10920,116128
10922,71961
10924,131222
10926,99413
10928,20175
10929,87261
1093,18789
10930,98493
10931,917
10932,116659
10935,155470
10938,159542
10939,151778
10940,160014
10942,48546
10943,41161
10944,56696
10945,43582
10946,50431
10948,33419
10949,46556
1095,124975
10955,112496
10956,42480
10957,62907
10958,50564
10959,58184
1096,47257
10960,42481
10961,22653
10962,50899
10963,89791
10966,47812
