"gutenberg_author_id","author","gender","nationality","birthdate","deathdate","link","generation"
1968,"Mawson, Douglas, Sir","M","Australian",1882,1958,"http://en.wikipedia.org/wiki/Douglas_Mawson",NA
1586,"Maxwell, James Clerk","M","Scottish",1831,1879,"http://en.wikipedia.org/wiki/James_Clerk_Maxwell",NA
5590,"Maxwell, W. B. (William Babington)","M","British",1866,1938,"http://en.wikipedia.org/wiki/W._B._Maxwell",NA
1018,"May, Karl","M","German",1842,1912,"http://en.wikipedia.org/wiki/Karl_May",NA
37403,"May, Phil","M","British",1864,1903,"http://en.wikipedia.org/wiki/Phil_May_%28caricaturist%29",NA
3465,"May, Sophie","F","American",1833,1906,"http://en.wikipedia.org/wiki/Rebecca_Sophia_Clarke","Gilded "
25637,"Mayer, Brantz","M","American",1809,1879,"https://en.wikipedia.org/wiki/Brantz_Mayer","Transcendental "
32438,"Mayor, F. M. (Flora Macdonald)","F","British",1872,1932,"http://en.wikipedia.org/wiki/F._M._Mayor",NA
521,"McCabe, Joseph","M","British",1867,1955,"http://en.wikipedia.org/wiki/Joseph_McCabe",NA
1783,"McCarthy, Justin","M","Irish",1830,1912,"http://en.wikipedia.org/wiki/Justin_McCarthy_(1830%E2%80%931912)",NA
25862,"McCarthy, Justin H. (Justin Huntly)","M","Irish",1860,1936,"http://en.wikipedia.org/wiki/Justin_Huntly_McCarthy_%281859-1936%29",NA
1470,"McClung, Nellie L.","F","Canadian",1873,1951,"http://en.wikipedia.org/wiki/Nellie_McClung",NA
26460,"McComas, J. Francis","M","American",1911,1978,"http://en.wikipedia.org/wiki/J._Francis_McComas","Greatest"
3076,"McConnell, Francis John","M","American",1871,1953,"http://en.wikipedia.org/wiki/Francis_John_McConnell","Missionary "
194,"McCrae, John","M","Canadian",1872,1918,"http://en.wikipedia.org/wiki/John_McCrae",NA
37927,"McCulley, Johnston","M","American",1883,1958,"http://en.wikipedia.org/wiki/Johnston_McCulley","Lost "
1555,"McCutcheon, George Barr","M","American",1866,1928,"http://en.wikipedia.org/wiki/George_Barr_McCutcheon","Missionary "
8700,"McCutcheon, John T. (John Tinney)","M","American",1870,1949,"http://en.wikipedia.org/wiki/John_T._McCutcheon","Missionary "
33521,"McFarland, J. Horace (John Horace)","M","American",1859,1948,"http://en.wikipedia.org/wiki/J._Horace_McFarland","Progressive "
34733,"McFee, William","M","British",1881,1966,"http://en.wikipedia.org/wiki/William_McFee",NA
2122,"McGee, Thomas D'Arcy","M","Canadian",1825,1868,"http://en.wikipedia.org/wiki/Thomas_D%27Arcy_McGee",NA
5671,"McGuffey, William Holmes","M","American",1800,1873,"http://en.wikipedia.org/wiki/William_Holmes_McGuffey","Transcendental "
38067,"McIntyre, James","M","Scottish",1827,1906,"http://en.wikipedia.org/wiki/James_McIntyre_%28poet%29",NA
33654,"McKenna, Stephen","M","British",1888,1967,"https://en.wikipedia.org/wiki/Stephen_McKenna_(novelist)",NA
1656,"McKinley, William","M","Spanish",1843,1901,"http://en.wikipedia.org/wiki/William_McKinley",NA
8799,"McMurry, Charles A. (Charles Alexander)","M","American",1857,1929,"http://en.wikipedia.org/wiki/Charles_Alexander_McMurry","Progressive "
1952,"McMurry, Frank M. (Frank Morton)","M","American",1862,1936,"http://en.wikipedia.org/wiki/Frank_Morton_McMurry","Missionary "
26827,"McNeile, H. C. (Herman Cyril)","M","British",1888,1937,"http://en.wikipedia.org/wiki/H._C._McNeile",NA
5475,"McNeill, Ronald","M","British",1861,1934,"http://en.wikipedia.org/wiki/Ronald_McNeill%2C_1st_Baron_Cushendun",NA
40906,"Meacham, A. B. (Alfred Benjamin)","M","American",1826,1882,"http://en.wikipedia.org/wiki/Alfred_B._Meacham","Gilded "
4696,"Mead, G. R. S. (George Robert Stow)","M","British",1863,1933,"http://en.wikipedia.org/wiki/G._R._S._Mead",NA
8190,"Means, Florence Crannell","F","American",1891,1980,"http://en.wikipedia.org/wiki/Florence_Crannell_Means","Lost "
25130,"Meek, S. P. (Sterner St. Paul)","M","American",1894,1972,"http://en.wikipedia.org/wiki/S.P._Meek","Lost "
32079,"Meigs, Cornelia","F","American",1884,1973,"http://en.wikipedia.org/wiki/Cornelia_Meigs","Lost "
32116,"Melville, Frederick John","M","British",1882,1940,"http://en.wikipedia.org/wiki/Fred_Melville",NA
9,"Melville, Herman","M","American",1819,1891,"http://en.wikipedia.org/wiki/Herman_Melville","Transcendental "
578,"Mencken, H. L. (Henry Louis)","M","American",1880,1956,"http://en.wikipedia.org/wiki/H._L._Mencken","Missionary "
8145,"Mendelssohn-Bartholdy, Felix","M","German",1809,1847,"http://en.wikipedia.org/wiki/Felix_Mendelssohn",NA
7230,"Menpes, Mortimer","M","British",1855,1938,"http://en.wikipedia.org/wiki/Mortimer_Menpes",NA
4544,"Menzel, Wolfgang","M","German",1798,1873,"http://en.wikipedia.org/wiki/Wolfgang_Menzel",NA
520,"Meredith, George","M","British",1828,1909,"http://en.wikipedia.org/wiki/George_Meredith",NA
36721,"Merezhkovsky, Dmitry Sergeyevich","M","Russian",1865,1941,"http://en.wikipedia.org/wiki/Dmitry_Merezhkovsky",NA
32109,"Merrill, Stuart","M","American",1863,1915,"http://en.wikipedia.org/wiki/Stuart_Merrill","Missionary "
1312,"Merriman, Henry Seton","M","British",1862,1903,"http://en.wikipedia.org/wiki/Hugh_Stowell_Scott",NA
403,"Merritt, Abraham","M","American",1884,1943,"http://en.wikipedia.org/wiki/Abraham_Merritt","Lost "
33758,"Merwin, Sam","M","American",1910,1996,"https://en.wikipedia.org/wiki/Sam_Merwin,_Jr.","Greatest"
546,"Meynell, Alice","F","British",1847,1922,"http://en.wikipedia.org/wiki/Alice_Meynell",NA
35032,"Meyrink, Gustav","M","Austrian",1868,1932,"http://en.wikipedia.org/wiki/Gustav_Meyrink",NA
39912,"Micheaux, Oscar","M","American",1884,1951,"http://en.wikipedia.org/wiki/Oscar_Micheaux","Lost "
4093,"Michelson, Albert A. (Albert Abraham)","M","American",1852,1931,"http://en.wikipedia.org/wiki/Albert_Abraham_Michelson","Progressive "
32429,"Mickiewicz, Adam","M","Polish",1798,1855,"http://en.wikipedia.org/wiki/Adam_Mickiewicz",NA
37520,"Middleton, Thomas C. (Thomas Cooke)","M","American",1842,1923,"http://en.wikipedia.org/wiki/Thomas_Cooke_Middleton","Gilded "
3091,"Mignet, M. (François-Auguste-Marie-Alexis)","M","French",1796,1884,"http://en.wikipedia.org/wiki/Fran%C3%A7ois_Mignet",NA
26008,"Mikszáth, Kálmán","M","Hungarian",1847,1910,"http://en.wikipedia.org/wiki/K%C3%A1lm%C3%A1n_Miksz%C3%A1th",NA
5979,"Miles, George Henry","M","American",1824,1871,"http://en.wikipedia.org/wiki/George_Henry_Miles","Gilded "
1705,"Mill, John Stuart","M","British",1806,1873,"http://en.wikipedia.org/wiki/John_Stuart_Mill",NA
70,"Millay, Edna St. Vincent","F","American",1892,1950,"http://en.wikipedia.org/wiki/Edna_St._Vincent_Millay","Lost "
3939,"Miller, Alice Duer","F","American",1874,1942,"http://en.wikipedia.org/wiki/Alice_Duer_Miller","Missionary "
8546,"Miller, J. R. (James Russell)","M","Irish",1840,1912,"http://en.wikipedia.org/wiki/J._R._Miller",NA
8840,"Miller, Joaquin","M","American",1837,1913,"http://en.wikipedia.org/wiki/Joaquin_Miller","Gilded "
8539,"Miller, Kelly","M","American",1863,1939,"http://en.wikipedia.org/wiki/Kelly_Miller_%28scientist%29","Missionary "
31220,"Miller, Olive Thorne","F","American",1831,1918,"http://en.wikipedia.org/wiki/Harriet_Mann_Miller","Gilded "
33738,"Miller, Walter M.","M","American",1923,1996,"http://en.wikipedia.org/wiki/Walter_M._Miller,_Jr.","Greatest"
8937,"Mills, Wesley","M","Canadian",1847,1915,"http://en.wikipedia.org/wiki/Thomas_Wesley_Mills",NA
8722,"Milman, Henry Hart","M","British",1791,1868,"http://en.wikipedia.org/wiki/Henry_Hart_Milman",NA
730,"Milne, A. A. (Alan Alexander)","M","British",1882,1956,"http://en.wikipedia.org/wiki/A._A._Milne",NA
6194,"Milner, Alfred Milner, Viscount","M","British",1854,1925,"http://en.wikipedia.org/wiki/Alfred_Milner,_1st_Viscount_Milner",NA
5735,"Minto, William","M","Scottish",1845,1893,"http://en.wikipedia.org/wiki/William_Minto",NA
7659,"Mitchell, Donald Grant","M","American",1822,1908,"http://en.wikipedia.org/wiki/Donald_Grant_Mitchell","Gilded "
2484,"Mitchell, John Ames","M","American",1845,1918,"http://en.wikipedia.org/wiki/John_Ames_Mitchell","Progressive "
31426,"Mitchell, Langdon Elwyn","M","American",1862,1935,"http://en.wikipedia.org/wiki/Langdon_Elwyn_Mitchell","Missionary "
3377,"Mitchell, Maria","F","American",1818,1889,"http://en.wikipedia.org/wiki/Maria_Mitchell","Transcendental "
939,"Mitford, Mary Russell","F","British",1787,1855,"http://en.wikipedia.org/wiki/Mary_Russell_Mitford",NA
9224,"Mitton, G. E. (Geraldine Edith)","F","British",1868,1955,"https://en.wikipedia.org/wiki/Geraldine_Mitton",NA
2147,"Molesworth, Mrs.","M","British",1839,1921,"http://en.wikipedia.org/wiki/Mary_Louisa_Molesworth",NA
5844,"Molnár, Ferenc","M","Hungarian",1878,1952,"http://en.wikipedia.org/wiki/Ferenc_Molnár",NA
38142,"Moltke, Helmuth, Graf von","M","German",1800,1891,"http://en.wikipedia.org/wiki/Helmuth_Graf_von_Moltke",NA
1105,"Mommsen, Theodor","M","German",1817,1903,"http://en.wikipedia.org/wiki/Theodor_Mommsen",NA
2638,"Monk, Maria","F","Canadian",1816,1849,"http://en.wikipedia.org/wiki/Maria_Monk",NA
40869,"Monkhouse, W. Cosmo (William Cosmo)","M","British",1840,1901,"http://en.wikipedia.org/wiki/William_Cosmo_Monkhouse",NA
7279,"Monnier, Marc","M","Swiss",1827,1885,"http://en.wikipedia.org/wiki/Marc_Monnier",NA
1640,"Monroe, James","M","American",1758,1831,"http://en.wikipedia.org/wiki/James_Monroe","Republican "
33486,"Montgomery, H. B. (Helen Barrett)","F","American",1861,1934,"http://en.wikipedia.org/wiki/Helen_Barrett_Montgomery","Missionary "
36,"Montgomery, L. M. (Lucy Maud)","F","Canadian",1874,1942,"http://en.wikipedia.org/wiki/Lucy_Maud_Montgomery",NA
2656,"Moodie, Susanna","F","Canadian",1803,1885,"http://en.wikipedia.org/wiki/Susanna_Moodie",NA
8911,"Moody, Dwight Lyman","M","American",1837,1899,"http://en.wikipedia.org/wiki/Dwight_L._Moody","Gilded "
33397,"Moore, C. L. (Catherine Lucile)","F","American",1911,1987,"http://en.wikipedia.org/wiki/C._L._Moore","Greatest"
7157,"Moore, Clement Clarke","M","American",1779,1863,"http://en.wikipedia.org/wiki/Clement_Clarke_Moore","Compromise "
837,"Moore, Frank Frankfort","M","Irish",1855,1931,"http://en.wikipedia.org/wiki/Frank_Frankfort_Moore",NA
3161,"Moore, T. Sturge (Thomas Sturge)","M","British",1870,1944,"http://en.wikipedia.org/wiki/Thomas_Sturge_Moore",NA
26345,"Moore, Ward","M","American",1903,1978,"http://en.wikipedia.org/wiki/Ward_Moore","Greatest"
5807,"More, Hannah","F","British",1745,1833,"http://en.wikipedia.org/wiki/Hannah_More",NA
33458,"Morgan, C. Lloyd (Conwy Lloyd)","M","British",1852,1936,"http://en.wikipedia.org/wiki/C._Lloyd_Morgan",NA
43934,"Morgan, John (John Hamilton)","M","American",1842,1894,"http://en.wikipedia.org/wiki/John_Hamilton_Morgan","Gilded "
2646,"Morgan, Lewis Henry","M","American",1818,1881,"http://en.wikipedia.org/wiki/Lewis_H._Morgan","Transcendental "
34763,"Morgan, Thomas Hunt","M","American",1866,1945,"http://en.wikipedia.org/wiki/Thomas_Hunt_Morgan","Missionary "
8298,"Morison, James Cotter","M","British",1832,1888,"http://en.wikipedia.org/wiki/James_Cotter_Morison",NA
109,"Morley, Christopher","M","American",1890,1957,"http://en.wikipedia.org/wiki/Christopher_Morley","Lost "
3767,"Morley, John","M","British",1838,1923,"http://en.wikipedia.org/wiki/John_Morley,_1st_Viscount_Morley_of_Blackburn",NA
4972,"Morris, Clara","F","Canadian",1848,1925,"http://en.wikipedia.org/wiki/Clara_Morris",NA
964,"Morris, George Pope","M","American",1802,1864,"http://en.wikipedia.org/wiki/George_Pope_Morris","Transcendental "
32925,"Morris, Lewis","M","Welsh",1833,1907,"http://en.wikipedia.org/wiki/Lewis_Morris_(1833-1907)",NA
107,"Morris, William","M","British",1834,1896,"http://en.wikipedia.org/wiki/William_Morris",NA
3903,"Morrison, Arthur","M","British",1863,1945,"http://en.wikipedia.org/wiki/Arthur_Morrison",NA
3797,"Morse, Samuel Finley Breese","M","American",1791,1872,"http://en.wikipedia.org/wiki/Samuel_F._B._Morse","Compromise "
4776,"Mortimer, Favell Lee","F","British",1802,1878,"http://en.wikipedia.org/wiki/Favell_Lee_Mortimer",NA
1583,"Motley, John Lothrop","M","American",1814,1877,"http://en.wikipedia.org/wiki/John_Lothrop_Motley","Transcendental "
35681,"Moulton, Forest Ray","M","American",1872,1952,"http://en.wikipedia.org/wiki/Forest_Ray_Moulton","Missionary "
7825,"Mountevans, Edward Ratcliffe Garth Russell Evans, baron","M","Antarctic",1880,1957,"http://en.wikipedia.org/wiki/Edward_Evans%2C_1st_Baron_Mountevans",NA
1368,"Mozart, Wolfgang Amadeus","M","European",1756,1791,"http://en.wikipedia.org/wiki/Wolfgang_Amadeus_Mozart",NA
